date,team1,team2,score1,score2,winner
2025-03-15T22:00Z,BKN,BOS,113,115,0
2025-03-15T23:00Z,DET,OKC,107,113,0
2025-03-16T00:00Z,HOU,CHI,117,114,1
2025-03-16T00:00Z,MEM,MIA,125,91,1
2025-03-16T00:00Z,MIL,IND,126,119,1
2025-03-16T00:30Z,SA,NO,119,115,1
2025-03-16T00:30Z,GS,NY,97,94,1
2025-03-16T01:00Z,DEN,WSH,123,126,0
2025-03-16T17:00Z,DAL,PHI,125,130,0
2025-03-16T17:00Z,CLE,ORL,103,108,0
2025-03-16T19:30Z,LAL,PHX,107,96,1
2025-03-16T22:00Z,BKN,ATL,122,114,1
2025-03-16T22:00Z,POR,TOR,105,102,1
2025-03-16T23:00Z,MIN,UTAH,128,102,1
2025-03-16T23:00Z,LAC,CHA,123,88,1
2025-03-17T01:00Z,MIL,OKC,105,121,0
2025-03-17T23:30Z,NY,MIA,116,95,1
2025-03-18T00:00Z,HOU,PHI,144,137,1
2025-03-18T00:00Z,MIN,IND,130,132,0
2025-03-18T00:00Z,NO,DET,81,127,0
2025-03-18T01:00Z,UTAH,CHI,97,111,0
2025-03-18T02:00Z,GS,DEN,105,114,0
2025-03-18T02:00Z,PHX,TOR,129,89,1
2025-03-18T02:00Z,SAC,MEM,132,122,1
2025-03-18T02:00Z,POR,WSH,112,97,1
2025-03-18T02:30Z,LAL,SA,125,109,1
2025-03-18T23:00Z,CHA,ATL,102,134,0
2025-03-18T23:30Z,BOS,BKN,104,96,1
2025-03-19T02:00Z,GS,MIL,104,93,1
2025-03-19T02:30Z,LAC,CLE,132,119,1
2025-03-19T23:00Z,IND,DAL,135,131,1
2025-03-19T23:00Z,ORL,HOU,108,116,0
2025-03-19T23:30Z,MIA,DET,113,116,0
2025-03-20T00:00Z,MIN,NO,115,119,0
2025-03-20T00:00Z,OKC,PHI,133,100,1
2025-03-20T00:00Z,SA,NY,120,105,1
2025-03-20T01:00Z,UTAH,WSH,128,112,1
2025-03-20T02:00Z,LAL,DEN,120,108,1
2025-03-20T02:00Z,PHX,CHI,127,121,1
2025-03-20T02:00Z,POR,MEM,115,99,1
2025-03-20T02:00Z,SAC,CLE,123,119,1
2025-03-20T23:00Z,CHA,NY,115,98,1
2025-03-20T23:00Z,IND,BKN,105,99,1
2025-03-21T02:00Z,GS,TOR,117,114,1
2025-03-21T02:00Z,SAC,CHI,116,128,0
2025-03-21T02:30Z,LAL,MIL,89,118,0
2025-03-21T23:00Z,WSH,ORL,105,120,0
2025-03-22T00:00Z,MIA,HOU,98,102,0
2025-03-22T00:00Z,MIN,NO,134,93,1
2025-03-22T00:00Z,OKC,CHA,141,106,1
2025-03-22T00:00Z,SA,PHI,128,120,1
2025-03-22T00:30Z,DAL,DET,123,117,1
2025-03-22T01:30Z,UTAH,BOS,99,121,0
2025-03-22T02:00Z,PHX,CLE,123,112,1
2025-03-22T02:00Z,POR,DEN,128,109,1
2025-03-22T02:30Z,LAC,MEM,128,108,1
2025-03-23T19:00Z,DET,NO,136,130,1
2025-03-23T19:30Z,UTAH,CLE,91,120,0
2025-03-23T22:00Z,ATL,PHI,132,119,1
2025-03-23T22:00Z,MIA,CHA,122,105,1
2025-03-23T22:00Z,TOR,SA,89,123,0
2025-03-23T22:00Z,POR,BOS,116,129,0
2025-03-23T23:00Z,HOU,DEN,111,116,0
2025-03-24T01:00Z,LAC,OKC,101,103,0
